Year,type,Vision and Language,Vision and Others,Language and Others,Others
2019,pairwise,14,15,4,10
2020,pairwise,14,33,3,11
2021,pairwise,26,44,21,15
2022,pairwise,31,41,12,19
2023,pairwise,96,66,29,31
2024,pairwise,244,102,85,60
2025,pairwise,563,228,248,160
2019,triple,8,9,1,2
2020,triple,18,15,1,2
2021,triple,24,21,4,5
2022,triple,39,22,4,5
2023,triple,68,24,6,4
2024,triple,134,34,16,5
2025,triple,387,114,70,28
2019,quadruple,4,1,1,0
2020,quadruple,5,2,1,0
2021,quadruple,9,2,0,1
2022,quadruple,6,3,2,2
2023,quadruple,14,6,2,0
2024,quadruple,43,6,4,1
2025,quadruple,122,23,16,3
2020,quintuple,1,0,0,0
2023,quintuple,2,0,0,0
2024,quintuple,6,0,0,0
2025,quintuple,21,3,3,0
